Id,Score
413937,5
16525,3
221883,3
82207,4
8354,5
483228,2
350796,1
121313,5
494256,5
260366,3
48796,5
255690,4
503733,2
172961,1
556434,3
235026,3
465583,4
494936,5
32516,3
552401,1
66809,5
68811,5
434215,2
104046,5
548806,3
326287,2
555163,4
299994,4
193198,5
140391,3
470710,1
335190,2
293800,1
1044,2
112990,3
1025,1
302160,2
101147,1
284958,1
178406,3
330025,5
328435,3
396343,4
153197,2
148138,3
447057,3
133229,5
216690,2
147264,1
154974,3
142490,5
107617,4
62206,5
397186,2
6420,3
89400,5
480986,3
450493,4
381903,3
99711,2
261573,1
177441,4
319438,2
78997,3
447722,3
414032,5
6976,2
436187,3
360444,3
443142,4
501973,2
472217,4
165693,2
325568,4
229489,5
188811,5
86784,5
406307,5
262719,3
292261,3
188009,3
353919,4
73305,3
509866,1
504189,5
530550,5
188797,2
47593,1
156300,3
34230,2
97907,1
416834,4
488473,2
440276,5
195080,4
97840,4
332784,5
141005,5
16937,3
290347,5
312624,5
399177,3
118229,5
182953,5
530937,4
338747,2
452174,3
433204,5
137245,2
299000,2
238215,5
512474,5
196560,4
109364,5
476995,1
40813,2
430925,1
16463,4
434023,4
523827,2
167098,2
420037,4
194674,1
415911,3
548512,5
236147,1
270396,3
412881,3
423140,2
53289,2
161615,1
498135,4
478033,2
359659,4
54636,1
512772,1
283378,3
530454,1
14763,5
165849,1
490104,2
496150,1
251292,1
215690,4
15187,5
3124,2
365096,4
473307,3
115267,4
363556,5
268075,1
83450,5
286031,5
266006,2
146692,1
178875,2
80759,4
415788,5
17819,3
553674,4
275856,1
250109,3
187745,2
366503,3
261009,4
176116,3
141985,1
238621,4
188300,5
194643,2
350096,4
342734,4
305208,4
108404,3
165432,4
538612,4
484004,3
142708,1
149737,4
444973,5
455322,1
313371,5
182881,2
97934,1
440299,4
53883,5
124619,4
553456,3
484521,4
434171,3
249151,2
68936,1
325088,3
265028,1
92786,2
443424,3
543051,2
55105,1
14101,5
298970,4
421289,2
7432,2
184379,1
342608,2
65363,1
97117,3
413069,5
90142,2
140955,1
219045,4
262410,3
20498,2
389536,4
364483,5
